"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RP11-40C6.2",7.69253110141639,4.34324791419955,162.317446027153,0,0,1675.40542281983
"AC009065.4",6.3665768521748,2.92504944773515,149.006501823842,0,0,1591.46120974234
"RP11-64K7.1",4.70554859895314,2.30568272627321,123.844654349098,0,0,1412.12581321566
"HMGN1P37",4.05917973909508,1.91194173864822,116.346406244292,0,0,1352.39415633973
"UBE2SP2",6.80764408882718,3.70031490846978,110.804471317053,0,0,1305.93682933021
"RAPGEFL1",-6.33194028457927,11.3789843661149,-109.125133094725,0,0,1291.47982368003
"RP11-630A13.4",-7.35395843340004,4.46496102570826,-108.33535813034,0,0,1284.63041411671
"CTD-2626G11.2",-7.73992203696311,4.75335572959084,-106.571709900223,0,0,1269.18180539652
"RP4-737E23.2",-9.51957445563766,6.2600661235216,-106.062255996185,0,0,1264.67931843457
"PRAME",11.0778297327328,7.45912486295847,105.834017104485,0,0,1262.6562984007
"HNRNPCP2",4.11246986216398,6.33575123217901,104.48899842522,0,0,1250.81192563843
"RORA",-5.9692763621092,11.1335982954582,-104.131371780042,0,0,1247.44871488379
"CYP3A5",-6.93007893795365,8.21324341595173,-101.886352981149,0,0,1227.077984859
"KRT77",-12.711783803046,7.9890567370838,-101.467906919243,0,0,1223.24020366872
"HS3ST6",-9.90532694317447,6.29236135262075,-100.463342596533,0,0,1213.97346640369
"VIPR1-AS1",-5.69153946562078,3.72636675044501,-100.438237523104,0,0,1213.85116047708
"CLDN8",-7.58729086099285,4.69038869418974,-100.445824546926,0,0,1213.81119589217
"RP11-473M20.5",-6.72197664541526,4.58749665144756,-99.6646701163829,0,0,1206.5516806466
"PPP1R13L",-5.56787285036449,11.0879208663066,-99.5033315879846,0,0,1205.04652177682
"ADGRF2",-7.56869999594992,4.87553993980072,-99.2665244730447,0,0,1202.83369252772
"CYP4F12",-9.21047233582359,7.25385289264287,-98.9984424883722,0,0,1200.32341998626
"KLF4",-5.86309735243536,12.0567283444881,-98.3901183758399,0,0,1194.60660206563
"GABRE",-7.05571952652076,8.8083960625955,-95.5386624272382,0,0,1167.42213186683
"TNNT2",-8.00069022376908,6.20944374326206,-95.4979372575873,0,0,1167.02917445722
"PIK3C2G",-8.33344031447853,5.35093768573951,-95.2003759613415,0,0,1164.15392481972
"IL20RB-AS1",-5.32197443629868,2.9953292930178,-94.8640489890868,0,0,1161.01695739779
"ALS2CL",-6.13407415549507,10.6927785794894,-94.8280533542508,0,0,1160.54613794541
"CTD-2008P7.9",-5.90875189281291,3.82884769534523,-94.6982220267798,0,0,1159.29173076799
"AADACL2",-9.74084306884143,6.12045329037966,-94.1246917537692,0,0,1153.69964213401
"GJB4",-9.82755859771448,6.52108929947381,-93.3848718854889,0,0,1146.45420279669
"RP11-361L15.5",-6.49373851706632,5.15895068775846,-92.8666240940199,0,0,1141.35158046171
"CHP2",-10.8350613321953,7.20274905495533,-92.834635031846,0,0,1141.03588148598
"HOPX",-8.1715048138323,11.2424818029165,-92.094561348535,0,0,1133.70803455868
"CALCOCO1",-2.71609281609362,12.6197598618031,-91.3843509115698,0,0,1126.63216059627
"OVCH2",-6.21855669270326,3.52514174305928,-91.356241409751,0,0,1126.35121677037
"CALML3-AS1",-8.09613593543351,5.52899085003989,-91.3545780914345,0,0,1126.33459040989
"KRT73",-8.74400944932393,5.47639928754494,-91.3148871172828,0,0,1125.93777305898
"KRT2",-14.606890026322,10.1056277488155,-91.0133926317934,0,0,1122.91911000588
"RP11-609N14.4",-6.28820030345869,5.29272639332223,-90.3451419879231,0,0,1116.2003856681
"IL20RB",-7.64470358652982,9.46287460261981,-90.1939964895303,0,0,1114.67536415111
"EIF5AP4",5.82940990977551,3.81781297341415,89.5909321973019,0,0,1108.57072112595
"ZNF273",-4.67403604769264,9.81804754296144,-89.0474221782486,0,0,1103.04153923651
"PLEKHM1P",-2.8383067767459,9.99330864780744,-88.7298910532572,0,0,1099.80097653882
"PLCH2",-7.50843648000696,9.81853479143778,-88.575447142305,0,0,1098.21886561734
"PSAPL1",-11.7798130402569,7.53987237669032,-88.4258805671426,0,0,1096.6864449901
"POU2F3",-9.79116558552781,7.67431607418828,-88.4067510891723,0,0,1096.49030517455
"SLC35B4",3.07922261401259,9.52148358101845,88.3158068082155,0,0,1095.55738079628
"PLLP",-4.08365275471491,9.91937805589835,-88.1120018140267,0,0,1093.46401924263
"LRIT2",-6.79022409038759,4.06351282145692,-87.8037891833715,0,0,1090.29115984792
"ANKRD35",-6.99801717007743,8.95226319316529,-87.7400769247543,0,0,1089.63421452905
