"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000219928.2",8.07393621503116,5.82772806920284,126.799077181456,0,0,1213.01539525037
"ENSG00000279473.1",5.17917089444146,3.32186017144389,80.5394181575162,0,0,877.677473446242
"ENSG00000204253.4",3.60489322341587,7.13153523765727,72.0024534760562,0,0,798.800431309821
"ENSG00000240854.1",3.81589867085288,2.668022761112,70.3203474085041,0,0,782.49726529603
"ENSG00000234743.1",4.98666292814185,4.24248082211664,69.0455345153001,0,0,769.786294221858
"ENSG00000229237.2",4.03297426326382,2.88576868370497,65.2515968848367,9.88131291682493e-324,8.46877923536481e-320,731.386144179952
"ENSG00000272789.1",-6.61684519501295,4.68637257047148,-63.0745380861062,1.11780331465227e-313,8.21154283562335e-310,708.521513258878
"ENSG00000226252.1",-5.27717189421987,4.11995386681648,-61.6511884432341,4.55769799681925e-307,2.92963130113045e-303,693.337968487217
"ENSG00000162367.11",-4.20801126022787,7.80924941224535,-61.2399645270952,3.86483034817788e-305,2.20823523327057e-301,688.908279090658
"ENSG00000129467.13",-3.78517409018391,9.41780404758561,-60.344157905728,6.56207634683952e-301,3.37441651983529e-297,679.191244996192
"ENSG00000186994.11",-4.07166681205713,8.52199143127519,-59.3829804888802,2.51444985273673e-296,1.17545958888437e-292,668.661388607783
"ENSG00000241431.1",4.31764426734887,3.17877641806464,58.4858610809204,5.25638019149175e-292,2.252490321559e-288,658.73539256654
"ENSG00000165810.16",-6.37367959269808,9.09634028429921,-57.7635691598011,1.69426435589762e-288,6.70185815179412e-285,650.674399111107
"ENSG00000213228.5",3.4920710038347,2.7542465354264,57.6748034881039,4.24320766078404e-288,1.55856048243213e-284,649.758225230544
"ENSG00000167549.18",-4.99433297056286,7.10174829381397,-57.5558127071212,1.75013450340885e-287,5.99981110458622e-284,648.344247252584
"ENSG00000235734.4",3.3792031164198,2.42776560912279,57.1716303728992,1.21923935446555e-285,3.91855908279263e-282,644.109281976965
"ENSG00000161835.10",-3.9439751020432,9.35673890942576,-57.0414572757532,5.79883264079987e-285,1.75407865228148e-281,642.553079916226
"ENSG00000187800.13",-3.74131954746918,9.04449072821724,-56.4758788985767,3.55211733123883e-282,1.01478071957941e-278,636.148419292806
"ENSG00000047648.21",-3.67648564295617,8.2991835527478,-55.442803858894,4.83832476552381e-277,1.30947986535543e-273,624.349708547484
