"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000160882.11",-4.94934916306383,0.206327011460493,-35.2274703798129,5.01828255640736e-127,2.59450226448817e-122,277.410348869007
"ENSG00000219928.2",8.09282665804362,8.70557811293967,31.2502024598644,2.75167095612322e-111,7.11320700512632e-107,241.933330389586
"ENSG00000175646.3",-3.25238201124766,0.120746486049168,-29.8862625716841,1.07299177685818e-105,1.84915826184482e-101,229.300927776014
"ENSG00000175535.6",-6.30253031654704,0.239040751118935,-27.9213728239995,1.7742350396199e-97,2.29324314458472e-93,210.707147093738
"ENSG00000279940.1",-5.03610242173598,0.320251177581691,-26.7334029925097,2.02145411335668e-92,2.09022398229308e-88,199.253203164158
"ENSG00000122304.10",-4.07799164329564,0.175758243465694,-25.3434885298064,1.98449176822276e-86,1.71000348181475e-82,185.668542360277
"ENSG00000187021.14",-3.93509922483632,0.178729876978081,-24.9277525938508,1.27147697547856e-84,9.39094730131671e-81,181.570202337727
"ENSG00000142789.19",-6.31698613274744,0.306328301498314,-24.4767360348195,1.17789780429662e-82,7.61231179749242e-79,177.10740077471
"ENSG00000176695.6",-1.4552947733505,0.0410936125295228,-23.6321516254654,5.91037745143335e-79,3.39524916240618e-75,168.70748789664
"ENSG00000269124.1",-3.43944813221121,0.214855179898732,-22.7581845585649,4.18355005975057e-75,2.16293721639164e-71,159.964226093429
"ENSG00000156920.10",-5.23475613959821,0.34618857999872,-22.5654247868297,2.97216889644368e-74,1.39694640104577e-70,158.029848937724
"ENSG00000204787.8",-1.86848887977165,0.0561088158854252,-22.298021698809,4.52460812142088e-73,1.94938970404651e-69,155.343292659691
"ENSG00000260182.1",-2.32176224894916,0.106690987006329,-22.216033806132,1.04331464253429e-72,4.14926233335887e-69,154.518893161525
"ENSG00000148604.13",-2.84009183101309,0.158893282599386,-21.7515838688338,1.19102966544505e-70,4.39838748094105e-67,149.843400724264
"ENSG00000224126.2",7.18161461108249,7.47958284990709,20.2326090539065,6.61943772403198e-64,2.28154366513451e-60,134.509584868503
"ENSG00000243480.7",-4.90793101293529,0.352444306544505,-19.7039850387766,1.47722599725706e-61,4.77337883026169e-58,129.16811002039
"ENSG00000198618.5",3.22222127675525,11.7507430842842,19.6117929231559,3.79226992488551e-61,1.15331851403827e-57,128.236794485784
"ENSG00000219073.7",-4.89998629417227,0.381544128783627,-19.3989522873882,3.34128965507176e-60,9.59711202538138e-57,126.087214473631
"ENSG00000165480.15",6.50262120507652,8.99420094017658,19.3538189566247,5.29967886980337e-60,1.44209840656686e-56,125.631502543996
"ENSG00000244301.5",-2.28063265189031,0.128354566715011,-19.2068989750573,2.37809198902003e-59,6.14748669621624e-56,124.148373072028
"ENSG00000172023.7",-5.11303635891664,0.226573340408882,-19.0254934594839,1.51654546933573e-58,3.73366272905365e-55,122.317909683961
"ENSG00000244056.3",-3.30188571307391,0.282620825673105,-18.9274391412475,4.12642704078838e-58,9.69729111071818e-55,121.328918765886
"ENSG00000227487.3",-4.5776980800353,0.341588174529123,-18.9166907494268,4.60486854379424e-58,1.0351143851422e-54,121.220528508397
"ENSG00000266050.2",-2.65127751544418,0.142994299739296,-18.7003946714478,4.18348153040187e-57,9.01209077513779e-54,119.040236096323
"ENSG00000169717.6",-0.917317543060063,0.0282844175106386,-18.5423048274559,2.09605989576517e-56,4.3347357068382e-53,117.447880914809
"ENSG00000175063.16",6.82186629081911,11.4212427833422,18.4511417141477,5.30570117430104e-56,1.05503867850976e-52,116.530163517274
"ENSG00000089685.14",6.77739218509137,11.1119714905737,18.4392649083928,5.9879259012537e-56,1.14659910007673e-52,116.410632260282
"ENSG00000105011.8",5.80103511057414,10.4112998586425,18.3738638407517,1.16546863509159e-55,2.1519962108168e-52,115.752546272504
"ENSG00000276043.4",6.0490529974789,10.8350897961804,18.2794032119938,3.04827492978191e-55,5.43444352222947e-52,114.802448443548
"ENSG00000260305.1",-1.36329704933555,0.0555880482085507,-18.1538690393667,1.09298759715773e-54,1.88361839202172e-51,113.540573478499
"ENSG00000260340.1",-0.746411513172764,0.0227934380127907,-18.0260263703145,4.00808748641075e-54,6.68458487532007e-51,112.25645306553
"ENSG00000118245.2",-1.9441740107811,0.0906587087816536,-17.9538374250054,8.34423937754101e-54,1.34814225018202e-50,111.531802829365
"ENSG00000168925.10",-5.86659810129725,0.440684336013039,-17.8942780938231,1.52758654723394e-53,2.39326521450128e-50,110.934190226968
"ENSG00000101057.15",8.13810546551523,11.5180440949481,17.811799073822,3.5278110842276e-53,5.36445179016621e-50,110.107004065193
"ENSG00000170312.15",5.51714823018471,10.9954702275216,17.7276865147156,8.2790362631053e-53,1.20493166914021e-49,109.263932423981
"ENSG00000166803.10",5.97011705498573,10.086937879142,17.726372398405,8.39007757858603e-53,1.20493166914021e-49,109.25076495235
"ENSG00000204253.4",3.92338795069226,8.40909783302791,17.6020712891215,2.93463002671775e-52,4.10062991922525e-49,108.013239960075
"ENSG00000158402.18",6.32973997042046,8.00131585654192,17.5052958363185,7.87667794337788e-52,1.07166349039626e-48,107.037456426974
"ENSG00000237179.5",-2.9327528265944,0.248601705329751,-17.4934847000636,8.87676166370031e-52,1.1767627045512e-48,106.919318423985
"ENSG00000167900.11",5.79929088648781,11.6883039130826,17.4360390909576,1.58730937537094e-51,2.05163705040133e-48,106.344897722876
"ENSG00000093009.9",6.33601992496235,9.42423553071635,17.374257681711,2.9646959442525e-51,3.73848158570241e-48,105.727433017875
"ENSG00000137392.9",-5.17477457709256,0.476023989023033,-17.3159636965622,5.34377030143778e-51,6.57805400844368e-48,105.145126326666
"ENSG00000117650.12",6.61153193403008,9.41472536675751,17.3038663792487,6.0385030496403e-51,7.26038712021984e-48,105.024322167483
"ENSG00000126787.12",6.95382680961026,9.66580109551952,17.2815895139681,7.56244242118804e-51,8.88604171858734e-48,104.801899019365
"ENSG00000112984.11",6.19331183540258,10.3521125653876,17.0366824066499,8.94868957466325e-50,1.02812488822148e-46,102.359669776375
"ENSG00000174407.11",-3.50938750382701,0.294598188902004,-16.9706905956129,1.73967733024925e-49,1.95528386198297e-46,101.702592937414
"ENSG00000253861.1",-5.35513415940573,0.307954849087251,-16.9352342678266,2.48602943465368e-49,2.73468527236233e-46,101.34973915186
"ENSG00000171848.13",6.65946587444213,11.5176383118669,16.9224802309902,2.82657768810103e-49,3.04451860526065e-46,101.222845432674
"ENSG00000138180.15",6.2134799766351,10.08922244402,16.8826991992903,4.21809679958072e-49,4.45060862520659e-46,100.827161107668
"ENSG00000127564.16",6.06266014429096,10.1410334640386,16.8491364563329,5.91205828845794e-49,6.11318651143128e-46,100.493457164779
