"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CTB-31O20.6",-5.73191842296296,1.85840473325904,-77.3369776971565,1.07846071851274e-311,5.37008730176234e-307,702.80783311392
"CLDN7",5.70470937098851,10.9085111164141,53.1540516575602,1.44356828873109e-227,3.59405196845378e-223,510.403464804649
"PRR11",4.75717154505776,8.52924791865438,49.065886695687,8.64866302769924e-211,1.43550508933752e-206,471.931711684473
"ILDR1",5.75309026019696,6.78902519016445,47.8803142118473,9.18327090648773e-206,1.14317947879413e-201,460.402057422544
"ADHFE1",-5.81872611947631,7.05649252364033,-47.5054722037604,3.69347405886191e-204,3.6782569457394e-200,456.721091897913
"RP11-323N12.5",7.5464111622867,5.33860223273193,47.4743468019926,5.02336498480198e-204,4.16889060088716e-200,456.414664987914
"GNL3L",2.8114191552735,9.57609312209333,47.4194814034399,8.64067948297991e-204,6.1464856310786e-200,455.874230407461
"PLIN5",-6.60243288866407,6.99697582955142,-46.7339063481588,7.82298768252045e-201,4.6121170153889e-197,449.089969369324
"TRIM15",7.34793765706837,6.76954532095772,46.7275356890949,8.33615558872556e-201,4.6121170153889e-197,449.026655399922
"LINC00671",-6.19200333480065,2.64253194313544,-45.6504203141842,4.14396869155563e-196,2.06344777027321e-192,438.24959737393
"RAC1P2",4.14203358562716,8.31904935520474,45.3301907023193,1.06089882694925e-194,4.80239965355552e-191,435.017729878159
"CST1",9.88504411485578,7.3008180894226,45.3331768976348,1.80054911872988e-194,7.47137856816964e-191,434.49068444783
"FOXP3",4.25550332676639,6.71204291021097,44.4377575852024,9.53743680595409e-191,3.65313175627445e-187,425.943364593334
"CTB-50L17.14",-6.19325680205058,4.17468362538262,-44.3819994872296,1.689993989633e-190,6.01082576569897e-187,425.373097958132
"RP5-902P8.10",-3.58067678673397,2.09635381513378,-44.2489998805443,6.62521063276197e-190,2.19930492165166e-186,424.011267332783
"AL162151.3",-5.85990333630173,1.91289232613861,-44.131520448526,2.2185790497232e-189,6.90449532511982e-186,422.806505746759
"DTL",4.66013327441939,8.38608998037714,44.0131167133145,7.51339497971804e-189,2.20071758600047e-185,421.590510771012
"GRIN2D",6.10557338115361,8.54655677365971,43.8116645718984,6.0106112580776e-188,1.66273542769287e-184,419.517566197222
"ONECUT2",7.01999196067124,8.72451769397101,43.4634791346431,2.2129820373703e-186,5.79964355625352e-183,415.922694334836
"AGMAT",5.20905592567714,7.9920824799401,42.696028586056,6.60779353019171e-183,1.64514235521183e-179,407.945142633959
