"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RP11-40C6.2",7.20218045520677,7.2559085598092,31.9360523549577,2.4722217337472e-101,1.23106753453675e-96,219.90386487657
"HNRNPCP2",3.89299053204135,7.92091227489244,28.2263342653164,1.01490843194872e-88,2.52691901386592e-84,191.274123443249
"LINC01230",-7.81719915196278,1.08894071417123,-28.1799170372079,1.55572438723346e-88,2.58229505288924e-84,190.852265959158
"LINC01187",-9.17013387003984,1.41403955783059,-26.9682787036062,3.03942616694975e-84,3.78378163523575e-80,181.096047566047
"GP2",-7.44095054188059,1.53563291348605,-26.6034411605366,6.1646463320195e-83,6.13949457498486e-79,178.122562926435
"PRM2",-3.62061526253292,0.327570399081823,-26.5188938165154,1.24108420208917e-82,1.0300171487872e-78,177.431159837091
"CYP11B1",-4.28683685222833,0.479952233562602,-26.2486441934523,1.1685141330686e-81,8.31247568146916e-78,175.215307084944
"RP11-386B13.4",-4.35326959666636,0.563247996331957,-26.1818029457183,2.03736457530516e-81,1.2681575798987e-77,174.665893152953
"RP11-690G19.4",-7.05369773934304,0.977526118360682,-26.1181487648374,3.46100883433325e-81,1.91493773238287e-77,174.142175559787
"CLPS",-4.35836360131478,0.520642539982763,-25.8071892856104,4.63854943402545e-80,2.30981207616731e-76,171.576765345287
"MYL7",-2.94747928453675,0.368123020451629,-25.2655890672356,4.37640394397658e-78,1.9811582799478e-74,167.081265371276
"CTA-392C11.1",-3.57661045625159,0.37060247912109,-25.0785482619171,2.1204861977779e-77,8.79931089204569e-74,165.520818247629
"CELA3A",-4.70560648140236,0.577825936325535,-24.6156642464116,1.07072867711189e-75,4.10138501580491e-72,161.641906921179
"INSRR",-6.79952944028194,1.27575744264367,-24.5552464178833,1.78955513100884e-75,6.36519195026543e-72,161.13383435249
"ATP6V1G3",-7.25028675460709,1.06332911296974,-24.0483700892789,1.35155182559544e-73,4.48679164715672e-70,156.855523407759
"HMX2",-4.68412785983257,0.582546436071227,-23.9588538551645,2.90891105252705e-73,9.05325842322732e-70,156.09706338819
"PRM1",-2.93150095346651,0.274429853111271,-23.937163953427,3.50304983210152e-73,1.02610511434898e-69,155.913158709522
"SLC4A9",-7.99325504013793,2.75966464043907,-23.8518281597602,7.28141686909482e-73,2.01436352451914e-69,155.189126959759
"MYH6",-4.54699592248901,0.702191778791383,-23.466764774888,1.99572892967227e-71,5.23049040957686e-68,151.912558055621
"EIF5AP4",5.30000110466268,5.58026498489373,23.4286674547154,2.77149457276193e-71,6.90046718726265e-68,151.587548295672
"EEF1A1P9",4.28743439377885,6.17646059386268,23.2234200895612,1.62966849102084e-70,3.86433200851779e-67,149.834041323008
"MEG3",-6.65151789119851,6.59195608938955,-23.0410678693448,7.89134161507456e-70,1.78616930483751e-66,148.272599468624
"CELA3B",-3.70188958425515,0.454498997025704,-22.9931964275729,1.19459556881678e-69,2.5863513454261e-66,147.862143282316
"HSPB1P1",4.84867474168768,5.10984625179028,22.9114747018382,2.42570320080837e-69,5.03292985781056e-66,147.160933473076
"RP11-64K7.1",3.96918239255996,3.63596937679724,22.8885343114797,2.860282559391e-69,5.69722521309737e-66,146.997747381281
"PRR35",-7.34660469525531,1.31349971056715,-22.8246370910524,5.15240730408796e-69,9.86804900439862e-66,146.415118362552
"LINC00982",-9.61050072746812,3.08684405850923,-22.8125434148664,5.72267393557594e-69,1.0554306344294e-65,146.311192846461
"UNCX",-3.52209273218399,0.416900190908125,-22.7084902629005,1.41281405502017e-68,2.51258888156372e-65,145.416448028149
"MRGPRF-AS1",-3.51639422338122,0.633076836720653,-22.5873815723735,4.04992878285124e-68,6.95414667830553e-65,144.37375413667
"RP11-215A21.2",4.06522889341935,5.14657168217885,22.3883407893746,2.26152583425641e-67,3.75383134808773e-64,142.670710245545
"FOXI1",-9.29294623912816,1.72989234354532,-22.3826716161793,2.40897803636256e-67,3.86959581608742e-64,142.608187895171
