"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000175646.3",-4.02264358261775,0.153682816830436,-68.8245126951298,3.41580809980189e-191,2.06649558421815e-186,421.970899419728
"ENSG00000122304.10",-4.65973396018735,0.177024276643991,-64.0768287984209,4.12833309003769e-182,1.2487794764055e-177,401.968436493509
"ENSG00000219928.2",8.54101358261775,8.91643089745528,36.444738396645,1.0504046632715e-114,2.1182460439533e-110,250.687919547904
"ENSG00000176256.10",-1.92727449362477,0.0753167125220459,-35.9280171841455,3.89403638340696e-113,5.88953532808386e-109,247.125715383375
"ENSG00000101057.15",10.1938980010409,12.390742159738,34.4544436969781,1.38480085877553e-108,1.67555364708404e-104,236.786615352602
"ENSG00000143476.17",7.27325064532918,10.9842451962711,32.8685276528903,1.47212528124177e-103,1.48434392107608e-99,225.355763133355
"ENSG00000126787.12",8.38313569997399,10.6387872809272,32.669209744216,6.44522908300355e-103,5.49669588990557e-99,223.896596013546
"ENSG00000117650.12",8.26231135128807,10.5586759274376,32.6530111526045,7.26859848577548e-103,5.49669588990557e-99,223.777786958609
"ENSG00000175535.6",-6.81207743715847,0.336463005291005,-32.5083654565248,2.12966329871848e-102,1.43155966939856e-98,222.715395510502
"ENSG00000088325.15",7.7162584629196,12.5649701783825,32.3628715547484,6.29580643593524e-102,3.8088369776121e-98,221.644080847819
"ENSG00000160882.11",-5.14749789018995,0.366662201562106,-32.3089230620517,9.41653840308261e-102,5.17892491190629e-98,221.246155074634
"ENSG00000165304.7",8.48072636039552,10.8035620791131,31.9231811043143,1.69289691386055e-100,8.53473979122795e-97,218.390066244908
"ENSG00000171848.13",8.81803146916473,12.6177152003023,31.4160125908072,7.77415078834688e-99,3.56407253724919e-95,214.605912831042
"ENSG00000117399.13",7.49742295758523,12.129794197027,31.4082094993406,8.24771323374139e-99,3.56407253724919e-95,214.547433628686
"ENSG00000090889.11",7.12531369476971,10.9601137520786,31.0525486852677,1.23130124044052e-97,4.96608416294472e-94,211.873682672592
"ENSG00000175063.16",8.58481244756701,11.7631265285966,30.9510591403082,2.67082031602612e-97,1.00987054674343e-93,211.107734883716
"ENSG00000093009.9",7.59743954176425,10.4116988102797,30.8123051007716,7.7145087212271e-97,2.74536675656939e-93,210.058407866166
"ENSG00000109805.9",6.91822470673953,10.7929067160494,30.5126560905238,7.6864813783773e-96,2.58342639127261e-92,207.783871276207
"ENSG00000089685.14",7.90159217434296,11.6758890576972,30.335965710275,2.99743577406309e-95,9.54415102417204e-92,206.437264453196
"ENSG00000165480.15",6.76711753525891,9.5968834547745,29.8497844601324,1.29359505971464e-93,3.91299569613081e-90,202.711239895732
"ENSG00000142945.12",5.86739321493625,11.5919609065256,29.7706619236714,2.39392398033831e-93,6.89655299821462e-90,202.101984702517
"ENSG00000174371.16",6.7898367569607,9.80654611388259,29.6005461725632,9.01558672641977e-93,2.47920438988611e-89,200.789349177698
"ENSG00000186185.13",7.84173483710643,10.518883143865,29.5152352172797,1.75543958375098e-92,4.61741669294637e-89,200.129681907666
"ENSG00000166803.10",8.36072603929222,11.3106919904258,29.4786456399794,2.33682650390165e-92,5.89055540971009e-89,199.846467132539
"ENSG00000112742.9",7.20682818917512,10.2392439450743,29.3131827499963,8.53823552318091e-92,2.06618469072559e-88,198.563592123854
"ENSG00000148773.12",8.42781364715066,13.003256388511,29.1335599327853,3.49906949712852e-91,8.14179640143389e-88,197.166966572284
"ENSG00000158402.18",7.31160148321625,8.97302210279667,29.0996034832573,4.57040142771798e-91,1.02407461323734e-87,196.902480701016
"ENSG00000178999.12",8.25320834113973,10.9481363144369,29.0438901308303,7.08626620594839e-91,1.53108904616952e-87,196.468211863176
"ENSG00000129810.14",7.08820365703877,8.83023268379945,28.8666379588764,2.86745115055568e-90,5.98189861056267e-87,195.083949504059
"ENSG00000115163.14",6.93675756648453,9.55956529453263,28.8433249187872,3.44721639060493e-90,6.95165657329391e-87,194.901586678971
"ENSG00000121152.9",6.27148994431434,10.3073780413202,28.7484216711338,7.30005545867357e-90,1.42464114560914e-86,194.158505374929
"ENSG00000237649.7",6.24168954879,11.7007446424792,28.625447664745,1.93326574090409e-89,3.65495971228799e-86,193.193928153873
"ENSG00000131747.14",7.96700388836846,13.2193387014361,28.6008518485654,2.34955820821872e-89,4.30738098426715e-86,193.00077396308
"ENSG00000138180.15",7.48157069502993,11.0961909745528,28.3672013374374,1.50376529435154e-88,2.67572919934352e-85,191.162054853027
"ENSG00000112077.15",-4.51267126671871,0.269222329050139,-28.2375207609907,4.22573896933603e-88,7.30425017619689e-85,190.138543637909
"ENSG00000276043.4",7.08447790111892,12.0805396820358,28.0449802859619,1.96698574233899e-87,3.30551954000067e-84,188.614985089528
"ENSG00000134690.10",5.46030643351548,10.9986686102293,27.9477645389514,4.28337155166978e-87,7.00365978737617e-84,187.843947091825
"ENSG00000152253.8",6.50501622794691,9.05908837944066,27.8949659714007,6.53972659032765e-87,1.04115889279379e-83,187.424692111865
"ENSG00000112984.11",8.21353423887588,11.0873641043084,27.8106684691851,1.28611401568824e-86,1.99505963387455e-83,186.754588370433
"ENSG00000065328.16",7.32780454618788,9.70748537011842,27.7671492495243,1.82416081839832e-86,2.75895202978653e-83,186.408292860689
"ENSG00000066279.16",7.69683169008588,11.1958437475435,27.7177583037383,2.71299033211954e-86,4.00318266128214e-83,186.014986312942
"ENSG00000169679.14",6.11679531017436,10.6892642050894,27.6305074876267,5.47381673366397e-86,7.72114854648209e-83,185.319449419594
"ENSG00000024526.16",7.28884722976841,10.088828079617,27.6301873983546,5.4879398905539e-86,7.72114854648209e-83,185.316896010176
"ENSG00000127564.16",7.67604665443664,11.3078682050894,27.5415505231366,1.12075435890872e-85,1.54098630011954e-82,184.609330578938
"ENSG00000184661.13",6.9266748966953,9.55570953489544,27.4417710367586,2.50665162624342e-85,3.36994244632166e-82,183.811642057346
"ENSG00000123485.11",7.01611595810565,10.2138351816578,27.4201911311646,2.98380179788713e-85,3.92421828627338e-82,183.638957821817
