"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000219928.2",7.80366961002846,6.29307597964244,68.7664921399662,1.90613018757147e-250,1.15317064087699e-245,562.319524749802
"ENSG00000204253.4",3.65788500212263,6.89432765552006,47.2620278174086,1.51542740645241e-182,4.58401636177788e-178,407.070725135846
"ENSG00000240854.1",4.12390870463326,3.30757029056819,46.2975183306316,5.04644674726286e-179,1.01766645105303e-174,398.996631896948
"ENSG00000092054.12",-6.00720421774077,1.79128163975658,-43.7814349915621,1.30157990551747e-169,1.96857452809989e-165,377.416647258816
"ENSG00000143536.7",-4.49260303481193,1.16836292736954,-42.201881790813,1.55266491814341e-163,1.8786624443568e-159,363.478222767329
"ENSG00000198618.5",2.65345459777679,10.4151419956247,41.6363667166842,2.50478169236159e-161,2.52557138040819e-157,358.413331527214
"ENSG00000234743.1",4.80829170079084,4.35547964345585,41.3754554389688,2.64904263536481e-160,2.28945401934714e-156,356.063176788888
"ENSG00000224126.2",5.01423803638286,4.50618087464381,39.396713625662,2.04517636657943e-152,1.54661349781653e-148,337.9628716937
"ENSG00000232187.1",4.01849490426916,7.62332420490796,38.5613834089135,5.0602582169521e-149,3.4015055734352e-145,330.174052578453
"ENSG00000111245.14",-4.61267063575878,1.41129476076377,-37.7063575624074,1.64798936445255e-145,9.97000605706504e-142,322.110342835402
"ENSG00000249264.1",3.85200367995045,4.66335303967677,37.2944589327426,8.38316130250754e-144,4.61058629526456e-140,318.192779117951
"ENSG00000143520.6",-3.57595605620669,1.01306058296053,-37.0041406278252,1.35430658019116e-142,6.82773662403373e-139,315.418691768861
"ENSG00000226564.1",3.88020930501505,6.79909978502346,36.5166326950636,1.48267800711116e-140,6.89992723647776e-137,310.736473349183
"ENSG00000151006.7",-5.04049261345551,6.67827320957271,-36.429787711605,3.43312663366682e-140,1.48355210773982e-136,309.899236982671
"ENSG00000104938.16",-8.57107105570931,3.68914318977524,-35.9941532082744,2.34962463548645e-138,9.47650607984394e-135,305.68514844653
"ENSG00000130300.8",3.84509922973497,10.8145735493731,35.961104081964,3.24080406662989e-138,1.22538852764359e-134,305.36447612103
"ENSG00000206228.4",3.3345012694221,2.80569912000524,35.7556667726243,2.39931002735164e-137,8.27106331075697e-134,303.36806499715
"ENSG00000162231.13",-1.59873451138629,11.328991710241,-35.7530695230069,2.46089357654179e-137,8.27106331075697e-134,303.342791410457
"ENSG00000236058.3",4.07965612184832,4.31995179888292,35.4913165610976,3.17835583203211e-136,1.0120219532962e-132,300.791365587637
"ENSG00000243716.10",-3.13576856893325,10.507593457802,-35.2853984460941,2.39275371893246e-135,7.23784072439881e-132,298.778165616105
"ENSG00000004534.14",-1.99320031845773,11.0559111891147,-35.0542375772773,2.3215825782295e-134,6.68814775322515e-131,296.51187108501
"ENSG00000182333.14",-4.91945508139316,1.19944502028593,-34.9510746063766,6.41417056109325e-134,1.76383859365918e-130,295.498316552509
"ENSG00000172867.3",-4.30624615930467,1.330534438396,-34.6891038269643,8.52078821694043e-133,2.24126367629766e-129,292.918565906272
"ENSG00000163217.1",-4.4625787913565,1.45841727023424,-34.4954334852069,5.79835478637785e-132,1.4616202827762e-128,291.005932660724
"ENSG00000197976.10",-2.0032257104782,10.6810611132064,-34.1172727898323,2.48451102673225e-130,6.01231792380991e-127,287.257973939213
"ENSG00000214199.3",3.83442827077011,4.61139351802436,34.0202157068131,6.53599211675168e-130,1.52082481184324e-126,286.293201062644
"ENSG00000187730.7",4.61537777660267,5.78492967848457,33.941994840778,1.42633175974913e-129,3.13212031270488e-126,285.514824033973
"ENSG00000221995.5",-3.18033052507237,7.33583347617853,-33.940371963922,1.44962426453332e-129,3.13212031270488e-126,285.498666820564
"ENSG00000170477.12",-5.9152168522427,2.02674477126141,-33.8772787798755,2.72183427099724e-129,5.67812171471693e-126,284.87026682902
"ENSG00000223959.8",-2.11289922953245,8.36733761869786,-33.818272938486,4.90832453212851e-129,9.89812725149035e-126,284.282135404421
"ENSG00000213228.5",3.11513941811948,2.64059108256369,33.4265658230814,2.48599051025917e-127,4.85153077063417e-124,280.367088086512
"ENSG00000244538.1",3.44549119888139,2.69435663806598,33.4162421659564,2.75761233854619e-127,5.21343847679274e-124,280.263652458758
"ENSG00000246922.8",-3.12674578452369,6.86366464726161,-33.0678822791996,9.1919727787716e-126,1.68513930051553e-122,276.765777604749
"ENSG00000248569.1",2.81648078378827,2.79746775465173,33.0277629752546,1.37783914794682e-125,2.45166214036726e-122,276.362000364717
"ENSG00000177628.15",2.53996590996411,11.8283984207911,33.0148442463776,1.56971929162749e-125,2.71328222013943e-122,276.231939740761
"ENSG00000279392.1",3.5444541167852,3.90683583447666,32.644050431103,6.67902397441601e-124,1.12240997890061e-120,272.490408744337
"ENSG00000184863.10",-1.48085356650779,10.5374374512527,-32.5981808705892,1.06343282241731e-123,1.7387988889352e-120,272.026416277013
"ENSG00000261461.1",3.08640040987258,3.47760404987611,32.5666389468853,1.46445094934912e-123,2.33148298772956e-120,271.707209455201
"ENSG00000219507.4",3.40901980225844,6.32512591696012,32.3618976222762,1.17205128659805e-122,1.8181220188874e-119,269.632340672319
"ENSG00000225031.1",3.20020379854881,6.13403216046016,32.0378046781484,3.18521656601047e-121,4.81748079526253e-118,266.337837098191
"ENSG00000241431.1",4.40034268178702,3.55232962065614,32.0257628341226,3.60188434105655e-121,5.3147999723229e-118,266.21519051465
"ENSG00000160323.18",-3.60221834018894,8.34309433554131,-31.9143835723511,1.12384652845851e-120,1.61882064949245e-117,265.079985954803
"ENSG00000163660.11",-2.17476227826307,11.2417116255851,-31.8976874166727,1.33302980192184e-120,1.87547992922483e-117,264.909689937475
"ENSG00000146067.15",-2.14154949201758,10.3856011288326,-31.8465384323485,2.2492333303808e-120,3.09259359139494e-117,264.387782887948
"ENSG00000256968.1",3.05784897262305,4.4298771689943,31.6050437572571,2.66982106090606e-119,3.58930743428211e-116,261.919552368159
"ENSG00000216866.5",3.48633534257066,5.35082717966184,31.4147474710399,1.88446622433207e-118,2.47840081825308e-115,259.969862012518
"ENSG00000281026.1",-2.95575473885104,5.56154617576459,-31.2393059306632,1.14612347467332e-117,1.47528038235716e-114,258.168692368123
"ENSG00000104852.14",-1.94242514847648,12.7615803776269,-31.1550880284311,2.72983750373298e-117,3.44061894376746e-114,257.302824669169
"ENSG00000121211.7",4.27161770601708,5.356570216841,31.080710292135,5.87885688643338e-117,7.25834865133565e-114,256.537457818305
"ENSG00000122304.10",-3.29173257029958,0.85147929420299,-30.8703849355255,5.16239600701025e-116,6.24629267264212e-113,254.369776438509
"ENSG00000100941.8",-2.00406522324915,11.3827498032184,-30.8368597889023,7.30213265455948e-116,8.66204747716743e-113,254.023796414038
"ENSG00000103168.16",-1.68150756466509,10.1115453209418,-30.803179269501,1.03466744787001e-115,1.20375598579307e-112,253.676086366353
"ENSG00000204149.9",-2.4629219623818,8.83130164306383,-30.7768285078729,1.35910217240948e-115,1.5513766646496e-112,253.403958741951
"ENSG00000235776.2",3.25093405666627,4.24657599352184,30.7502947700043,1.78879168787933e-115,2.00404295432081e-112,253.129863241241
"ENSG00000234742.1",3.41209299437842,3.63292021207949,30.6215101176334,6.79382929328547e-115,7.47296517427608e-112,251.798395638456
