"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RP11-40C6.2",8.40915711312871,5.94952399988672,171.7795615634,0,0,1429.92877227455
"HNRNPCP2",4.20323208402251,7.28830412319639,91.8977280192852,0,0,964.006324087933
"RPL12P38",4.40831310453953,3.28345189217994,88.0831959247077,0,0,933.669916151327
"AC009065.4",5.46987754901933,3.54067079560507,87.5157085870205,0,0,928.898967697776
"HMGN1P37",4.44894647999211,3.07781254113518,84.7459257570006,0,0,906.103202538664
"EEF1A1P9",4.62390767714031,5.81437856982984,79.3307572750196,0,0,859.318685767665
"RP11-64K7.1",3.99807898790082,2.76064657592745,78.9079821934051,0,0,855.699767262163
"EIF5AP4",5.15690921778891,4.15379260909011,77.9242867471038,0,0,846.792536555388
"HNRNPA1P4",3.92844973710743,3.05984605923165,75.2789590727735,0,0,822.871082881748
"EEF1A1P12",4.342569689522,5.69746811663233,69.3771657327915,0,0,766.718507133732
"HMGN2P17",3.8117263191267,2.53330866575226,68.9196762233934,0,0,762.338137039637
"HMGN1P36",3.72096935884847,2.69479928838647,68.1279925408525,0,0,754.519170494165
"RP11-215A21.2",4.41271757973222,4.71977405783014,66.2247664447676,0,0,735.352147711431
"SOX10",-5.46833310699284,2.22431707246212,-66.1206395618487,0,0,734.298223246858
"AC000089.3",3.71508507083494,5.135258741781,65.8115722175568,1.97626258336499e-323,6.56020364548007e-320,731.166403211274
"CTC-512J14.5",3.62723211651258,3.76481269159739,63.703061374244,4.15157919079179e-314,1.2920233389143e-310,709.55631091744
"ABCA10",-4.54554966472088,7.07916805683252,-62.676527650483,2.04953742141959e-309,6.00321566836277e-306,698.774064765575
"TBCAP1",3.66381592962842,3.10227903979446,62.5412717124298,8.08211630358607e-309,2.23578277344869e-305,697.405114864741
"RP11-10G12.1",3.50336777950401,2.47910642290484,60.6549324717889,4.23876486297241e-300,1.11086872414131e-296,677.370838080486
"PPIAP22",2.37898882620462,10.3509237476403,60.3928434776453,7.61098893937709e-299,1.89490791623671e-295,674.488983282209
"MT-TA",4.7031628013061,3.28665290586158,58.464485547483,1.02097593675198e-289,2.42087979974419e-286,653.514226497458
"ABCA9",-5.51258276574247,7.42891075273285,-57.3301723653587,2.92749636497851e-284,6.62598881807908e-281,640.971813276649
"RPS2P55",3.95651481413207,5.82599480937697,56.5869997903197,1.19698645567748e-280,2.59142363365237e-277,632.671093959395
"WDR27",-2.57366194703805,9.59024910766259,-55.665009508417,3.96879623071459e-276,8.23425997967509e-273,622.280644036489
"ABCC6P2",4.33896636640531,5.48917454521753,55.5081997409213,2.35470347212613e-275,4.69000418764193e-272,620.50321637432
"ADAM33",-5.10064610829609,7.97797931743808,-55.2617254823267,3.89036773096367e-274,7.45065272290789e-271,617.703403593249
"MANEAL",3.27239419410848,8.45847512270199,54.7851384246112,9.00175126518992e-272,1.66012297221802e-268,612.268627323967
"RP11-464D20.2",3.45033656487792,4.58025186953566,54.6968895703539,2.47425471386192e-271,4.40010854364429e-268,611.259232949763
"SNRPGP2",2.93901029793785,4.18778349887613,54.5797034038318,8.89844660142498e-271,1.5278939657633e-267,609.981395218433
"HIF3A",-4.95788919925007,7.79819826065715,-54.3727558307918,1.02291991131959e-269,1.69784246880826e-266,607.543589802417
"ASF1B",3.6751887250454,6.97651227410183,54.1807587326489,9.33095107626417e-269,1.49879154158548e-265,605.336589973482
"OLA1P1",3.21085515518831,4.44151385276333,53.8445075887485,4.52978161969807e-267,7.04862331160143e-264,601.460475119612
"RPL7AP30",2.72470880103159,6.25269942282458,53.6667687673085,3.52491219820793e-266,5.31877206053229e-263,599.412047617819
"RMI2",3.90495469746816,7.43901394766498,53.640809378023,4.79141379616396e-266,7.0171664284173e-263,599.105582393627
"AL158801.1",3.74864746689208,3.82757240161386,53.4825939718442,3.00363729070617e-265,4.27323186438352e-262,597.272970079465
"DNHD1",-2.82064031782566,9.01343431628467,-53.4025095457814,7.61500893339601e-265,1.05328265230422e-261,596.344172023909
"EEF1A1P16",3.25457584347877,2.25083421484692,53.3947680720054,8.16209091513929e-265,1.09844095953634e-261,596.274882944987
"CHRD",-3.33314666545786,8.19192355281255,-53.3894401455345,8.86416001941566e-265,1.16153153685996e-261,596.192521341618
"RUSC1-AS1",-2.5905022200259,7.65034031859788,-53.1561474600692,1.33877719479479e-263,1.70930952916953e-260,593.481957712895
"NPIPB5",-3.34311614216511,12.2148935301319,-52.956837588784,1.36878953543681e-262,1.70393765318851e-259,591.160894574084
"LINC00853",3.64985841640364,4.45151818029798,52.3478709335462,1.71528735197154e-259,2.083195570831e-256,584.03864319805
"CLASRP",-1.6818418007098,11.0596749970727,-52.2760555653528,3.86599331683353e-259,4.58341121948593e-256,583.227222792454
"CSPG4P12",-2.80249517781324,7.05333620065812,-51.9983013582829,1.05127146411695e-257,1.21737235544743e-254,579.929375242615
"RP11-66N24.3",-3.16695020640418,8.82091014812496,-51.6217901895922,8.99946182004014e-256,1.01845273151609e-252,575.486367955799
"EME2",-2.86757551542174,9.78825598596671,-51.552537014855,2.04410117130511e-255,2.26186608275482e-252,574.667222087897
"DIO3OS",-6.96205357025468,5.39854987783894,-51.216942174806,1.09825739934034e-253,1.18883975962506e-250,570.689225649207
"RP5-966M1.6",-3.31869875845362,7.62533217313984,-51.1525465328075,2.36265650580066e-253,2.50310889467741e-250,569.924297428951
"LGI4",-3.74747354131854,8.23513093943075,-51.0820771878947,5.46680588828414e-253,5.67112775835876e-250,569.08662785141
"GABBR1",-2.98309478705097,10.6860778693752,-51.0463449909801,8.36710359766746e-253,8.50268482739293e-250,568.661641576725
"PID1",-4.31932491069059,7.41958998686146,-50.9464517066548,2.75224221255256e-252,2.74090297463685e-249,567.472697922205
"GOLT1A",5.04495332888847,6.80163367957459,50.8771411829271,6.29216097293513e-252,6.14336987228102e-249,566.647020434467
"EEF1A1P19",2.65886143499927,6.1835806620663,50.7745180326536,2.14284654506989e-251,2.05194040125404e-248,565.423393877579
"RP11-197N18.2",-2.79394681246381,7.85904121326305,-50.6217593412103,1.33117877622273e-250,1.2506550185516e-247,563.599532913747
"CFD",-4.52433777431026,10.1229546024811,-50.4202901790409,1.4871693014009e-249,1.37133533692512e-246,561.189621445656
"C7orf55-LUC7L2",-1.2494043214759,12.5381594271966,-50.395719824701,1.86777274605665e-249,1.69097956576627e-246,560.96198261683
"CENPT",-2.47782505351784,10.5050628781636,-50.3283643657699,4.48050805557454e-249,3.98397175212998e-246,560.088342534399
"FAM207BP",2.99503414808057,3.01383591379168,50.2765545523761,8.09666753041303e-249,7.07307829841029e-246,559.497430281734
