"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000219928.2",8.41022543828601,5.94934423060633,172.274122486433,0,0,1427.08994618677
"ENSG00000204253.4",4.20424709224797,7.28828277772539,92.0493459499123,0,0,962.48844973712
"ENSG00000213228.5",4.40926570526885,3.28351971084307,88.4094048199798,0,0,933.603420312146
"ENSG00000279473.1",5.47042954045342,3.5409373326024,87.6390194304243,0,0,927.363496452694
"ENSG00000229237.2",4.45022293561346,3.07800123865037,85.0337718314581,0,0,905.921987679298
"ENSG00000249264.1",4.62490346006348,5.81442483206298,79.3818100930956,0,0,857.514238344151
"ENSG00000240854.1",3.9992277878209,2.76077191787828,79.2141731388478,0,0,856.03712837964
"ENSG00000234743.1",5.1577047010513,4.15364340150972,77.9979177506329,0,0,845.246248914672
"ENSG00000206228.4",3.92923928657452,3.05995520600753,75.5245993927132,0,0,822.892895078813
"ENSG00000214199.3",4.34349532735272,5.69751339292707,69.3940558548003,0,0,764.993654541853
"ENSG00000238249.2",3.81244348293423,2.53333862063895,69.1255910565628,0,0,762.37320256871
"ENSG00000235734.4",3.72177742994933,2.69495462376195,68.3363653691284,0,0,754.626865959625
"ENSG00000236058.3",4.41360832246008,4.71975552246272,66.2561605824613,0,0,733.898602866319
"ENSG00000100146.16",-5.4674058736684,2.22405034146794,-66.0917353020977,0,0,732.24067824159
"ENSG00000235776.2",3.71586978497376,5.13521186395304,65.8952722214767,3.95252516672997e-323,1.59415221287137e-319,730.255920859947
"ENSG00000248569.1",3.62881086034373,3.76510546460577,63.8339641617656,5.8709321876758e-314,2.21987284681258e-310,709.179987283108
"ENSG00000226781.1",3.66563075620689,3.10212902869034,62.6876766970198,9.10509844142714e-309,3.24023673829094e-305,697.257736346381
"ENSG00000154263.17",-4.54482672337255,7.07932277138887,-62.6299638870333,1.66836463818098e-308,5.60737354892629e-305,696.653606058901
"ENSG00000244538.1",3.50425485834235,2.47914501631023,60.8183803843463,3.63575404399334e-300,1.15766235870268e-296,677.498902860633
"ENSG00000198618.5",2.38015678337396,10.3507336056233,60.39611080322,3.36859416870267e-298,1.01896605009087e-294,672.980251829056
"ENSG00000210127.1",4.70441261030573,3.2867769834788,58.4759671007472,3.83586731498841e-289,1.10505857534366e-285,652.172142486122
"ENSG00000154258.16",-5.51152574280595,7.42899512930711,-57.2319799135561,3.55799010100477e-283,9.78414932411757e-280,638.459884392275
"ENSG00000216866.5",3.95743044498521,5.82592320303797,56.5902715209547,4.57752121096182e-280,1.20404729661204e-276,631.314293635885
"ENSG00000184465.15",-2.57270691524122,9.5903980453401,-55.6948678352819,1.08430643776906e-275,2.73326545300635e-272,621.260909254907
"ENSG00000255277.3",4.33999460048407,5.48922687351861,55.4980363474867,1.00554624179699e-274,2.43334146144938e-271,619.037921726144
"ENSG00000149451.17",-5.09950733002132,7.97808906071944,-55.1673169116169,4.28721261570238e-273,9.97568418556778e-270,615.292219088488
"ENSG00000185090.14",3.27364018464528,8.45818820668999,54.7752581974562,3.7298455727649e-271,8.35734064670855e-268,610.834525247149
"ENSG00000239246.3",3.45145950503221,4.58039211027664,54.7553154558594,4.68343588653776e-271,1.01192322951343e-267,610.607275252415
"ENSG00000264350.1",2.94027398557136,4.18779102601805,54.702612549592,8.54988937864532e-271,1.78362485389408e-267,610.006485060619
"ENSG00000124440.15",-4.95675260798461,7.79821800318373,-54.2795897929442,1.08491594793464e-268,2.187841500605e-265,605.17188900104
"ENSG00000105011.8",3.67636778377709,6.97642726133605,54.1879848158776,3.10557392171748e-268,6.06067777793755e-265,604.122073531954
"ENSG00000213790.2",3.21180031811549,4.44146052812855,53.9037280881602,8.17136725861083e-267,1.54484805128574e-263,600.85785730046
"ENSG00000241741.1",2.72593848536438,6.25272508442801,53.7443771745097,5.13210940594958e-266,9.40855620730721e-263,599.023627719164
"ENSG00000175643.8",3.906175423424,7.43878944390192,53.629655115435,1.93037318810755e-265,3.43481520982737e-262,597.701167322771
"ENSG00000279392.1",3.7498663826007,3.82781455134485,53.5246653192495,6.49820203423618e-265,1.12322350476349e-261,596.489473312505
"ENSG00000213235.3",3.25559924363655,2.25093658453749,53.5023301275464,8.4142166211418e-265,1.41400910318288e-261,596.231525962939
"ENSG00000179532.12",-2.81942233708134,9.01369373186975,-53.3621949734075,4.26298390941418e-264,6.97032433923618e-261,594.611710610026
"ENSG00000090539.15",-3.33227136922294,8.19217958824065,-53.3315401853745,6.08145885050264e-264,9.68200256678181e-261,594.257050052865
"ENSG00000225855.6",-2.58958866369704,7.65059392773634,-53.1802259461423,3.51844193339089e-263,5.45791538682774e-260,592.504718130566
"ENSG00000243716.10",-3.33987184283887,12.2139569786439,-52.8623207245765,1.41903602483233e-261,2.14622103575765e-258,588.813908072675
"ENSG00000104859.14",-1.6809937468773,11.0594337641334,-52.3955583083339,3.30589443521159e-259,4.87804881808367e-256,583.37219087628
"ENSG00000224805.2",3.65126415701091,4.4513975087145,52.3797073228288,3.98003081169924e-259,5.73295009633763e-256,583.186918203471
"ENSG00000259295.6",-2.80116718337718,7.05346984325879,-51.9911362190827,3.80084434649705e-257,5.34752282033438e-254,578.635368379845
"ENSG00000258727.1",-3.16574653861961,8.82125350969584,-51.5773686286973,4.97975912975307e-255,6.84694245072276e-252,573.767997936566
"ENSG00000197774.12",-2.86634331411679,9.7883009878836,-51.4998249871431,1.24463497966578e-254,1.67328726666267e-251,572.853433689748
"ENSG00000243696.4",-3.31793478362349,7.62562448707888,-51.1258144474581,1.04339057758666e-252,1.34338937990123e-249,568.431733372074
"ENSG00000258498.6",-6.96138284744294,5.398470588287,-51.1257927424814,1.04365930866075e-252,1.34338937990123e-249,568.431476259804
"ENSG00000153902.13",-3.74681908184645,8.2351581168359,-51.0142913806917,3.92134549813649e-252,4.94236583221378e-249,567.109878414245
"ENSG00000204681.10",-2.98148131131972,10.685797915661,-50.9604645979135,7.43352684333325e-252,9.17782667281582e-249,566.471326221076
"ENSG00000153823.18",-4.31841876578479,7.41984169527997,-50.8781755081329,1.97756436030362e-251,2.39277377339297e-248,565.494422016373
