"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CTB-31O20.6",-5.80846627413574,1.0797555869744,-87.9353475836471,8.32751534362054e-314,4.14660299020241e-309,708.06580723016
"AL162151.3",-8.15297994870104,1.59208719038251,-81.0014030790765,1.48571285604386e-296,3.6989792976924e-292,668.672390744389
"RPS4Y1",-3.96341974269654,0.70408914900876,-79.825018283502,1.65867067778276e-293,2.75306159098383e-289,661.706766612951
"CLDN3",11.9632609395889,12.6415701464559,77.1216515169988,2.85339158866932e-286,3.55204451915501e-282,645.162685110241
"LOC100421166",-6.83874426381161,1.4449514484111,-75.5111794160051,5.55603041809686e-282,5.5331395727743e-278,635.352093371134
"ILDR1",8.46882926420444,8.14548606448922,72.1435799362221,1.58941477371461e-272,1.31905532070575e-268,613.710796199301
"AC008992.1",-5.38810833086498,1.04400683138858,-70.6708541714374,2.22870571056381e-268,1.58537388788306e-264,604.217282547634
"AP1M2",9.81217872015664,10.6479183319094,68.7563447759519,1.01540882930057e-262,6.32015840577408e-259,591.257629477635
"SMPDL3B",8.83021700108835,9.61854395215043,66.8293932999198,5.74928565103945e-257,3.18088810786509e-253,578.077857365247
"CLDN4",8.57878757955746,12.891852669643,65.1032324055964,1.06138017137861e-251,5.28503642536267e-248,566.009380586842
"OVOL2",8.65494721947672,8.0670058496912,63.8754463490819,6.8965068167775e-248,3.12186054940563e-244,557.269699567149
"RP11-522B15.6",-4.61049000554907,1.02304474219955,-63.6636665001477,2.75747681274498e-247,1.14421500344853e-243,555.890137244024
"EPCAM",8.7059395817882,12.4663201614514,63.2663476876837,5.63986255963691e-246,2.16024089457354e-242,552.884858517231
"ESRP1",9.02695289556723,11.2563125864058,63.0529975945423,2.65811563071463e-245,9.45415783684317e-242,551.341164077269
"MAL2",9.51039221504059,12.5054294716705,62.7457746995019,2.49583844833585e-244,8.28518531309569e-241,549.111083795005
"KDM5D",-3.18752013757196,0.572712935223808,-62.2239436189401,9.95125727352272e-243,3.09695565423619e-239,545.441041414824
"RP11-354K4.2",-5.41892775372552,1.06472968558175,-62.0313083510788,4.10933195808563e-242,1.20364750306421e-238,544.028744833757
"C1orf210",8.30857264374812,8.6601021317168,60.4762836258979,4.97959098408747e-237,1.37752085256473e-233,532.370282027262
"AC007796.1",-4.2232460387141,0.873867473916604,-59.9200530299128,2.88956835840723e-235,7.57279825465945e-232,528.325049523369
"GPRASP1",-6.55610080507938,8.12376648362798,-59.315958419759,3.2331191235461e-233,8.04949668189272e-230,523.625089473429
"KDF1",7.7144871800542,8.92141526767723,58.92318391767,6.49736313563345e-232,1.54061761893206e-228,520.635576190147
"TSPYL2",-5.46904692190977,10.8422976999237,-58.7845532897008,1.88023498785664e-231,4.25565549933335e-228,519.57685245203
