"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000219928.2",7.30129055647706,4.54463197024625,81.1365412384178,1.27660793840122e-226,7.72322270573971e-222,507.102849569224
"ENSG00000279473.1",5.0076843046316,2.59097331726753,73.9669256974107,1.58417234422977e-213,4.79196292406062e-209,477.437836323387
"ENSG00000279285.1",-4.92449851515202,2.60137945011527,-57.3629460763708,2.33606780886872e-178,4.71091434336467e-174,397.360264872782
"ENSG00000224126.2",5.15755283363264,3.02859922650272,56.1212578819597,2.12574589466051e-175,3.21508437837929e-171,390.601630053627
"ENSG00000229237.2",3.52705785546001,1.97259935054629,54.7539296092702,4.44022097174129e-172,5.3724897669681e-168,383.015555575673
"ENSG00000234743.1",4.4682673682715,2.93912571544322,52.6498326988695,7.70767402165569e-167,7.77164771603543e-163,371.03656470806
"ENSG00000240854.1",3.21807845175248,1.77782344256407,50.1271453029839,2.44410767765236e-160,2.11233751832304e-156,356.162727874185
"ENSG00000181626.11",-5.27462135543554,3.1575753266063,-48.1729452271729,3.95917709606682e-155,2.99402869947313e-151,344.236571151925
"ENSG00000262406.2",7.30544201246005,4.13764154457215,47.340313083166,7.33124218965654e-153,4.92806099988712e-149,339.043416679069
"ENSG00000099812.8",6.50356082376855,8.29647776738281,45.6560367854844,3.48999886648714e-148,2.11137951424739e-144,328.327213476031
"ENSG00000278124.1",-8.24961613312433,5.37975551179458,-44.0514724795879,1.30517908381852e-143,7.17824765571389e-140,317.846767724811
"ENSG00000273610.1",-7.6444333808406,4.56836777623709,-44.0024951381867,1.80752798291797e-143,9.11265232588095e-140,317.522595572964
"ENSG00000227392.1",-5.24891875372837,3.96709162100304,-42.909713790732,2.76166189931542e-140,1.28519247372911e-136,310.222574965144
"ENSG00000267733.5",-6.31863848465113,4.69800644107722,-42.5195273596791,3.90478302592052e-139,1.68736831072957e-135,307.584585128144
"ENSG00000268278.1",-4.43020641833522,2.72239923569114,-42.2456289963243,2.5319990291733e-138,1.02120584844618e-134,305.722789861442
"ENSG00000280178.1",8.25211188266571,5.41175058597013,41.7895679681191,5.79723598778993e-137,2.19200739243322e-133,302.604299053687
"ENSG00000213145.9",4.90019034404308,9.32141104071302,41.6394069880015,1.63348038447484e-136,5.81307625293876e-133,301.57243712648
"ENSG00000267385.1",-6.34016960350781,5.89674081534632,-41.5726644863345,2.59076573048144e-136,8.7075636201481e-133,301.112990968989
"ENSG00000204253.4",3.069927636175,5.8523472046343,41.5447587161265,3.14228434762728e-136,1.00053641296187e-132,300.920743225844
"ENSG00000271945.1",-4.84929798400422,2.83557728123225,-41.4848662000979,4.7562514797517e-136,1.37741198773909e-132,300.507837671911
"ENSG00000106789.12",5.06566703149228,7.94091401859401,41.4841089021076,4.78125751967352e-136,1.37741198773909e-132,300.502614194108
"ENSG00000170373.8",9.27713306240717,5.34436011101273,41.3866856397228,9.39165950033566e-136,2.58262098386958e-132,299.830096912382
"ENSG00000241431.1",3.9890910626804,2.35452842644258,41.2919128846244,1.81303947619931e-135,4.76892444483069e-132,299.1748495914
"ENSG00000112486.14",5.81150657007102,3.76096481255638,40.2153535567145,3.42143997114517e-132,8.62459480726418e-129,291.659987177808
"ENSG00000255234.5",-4.60081850222441,3.51054934344616,-40.1299550753559,6.25905569402717e-132,1.51464140550902e-128,291.058183195998
"ENSG00000255201.1",-4.68331145174049,4.45363548982592,-40.068153831092,9.69518704366339e-132,2.25592086833672e-128,290.622144015199
"ENSG00000249715.9",-5.1416208458386,5.43291689289652,-39.8896352074765,3.44027775963015e-131,7.70851570007796e-128,289.360122751936
"ENSG00000267162.1",-3.972978786511,2.22638017349394,-39.8149153897366,5.85175513326355e-131,1.26435529304349e-127,288.830801095474
"ENSG00000002726.19",7.16897163279763,6.9514391405493,39.6122316896632,2.48007744262777e-130,5.17378362496879e-127,287.391704525793
"ENSG00000244538.1",3.17413595797071,1.8981090839988,39.4441577522136,8.24349834128287e-130,1.6623838755031e-126,286.194713171511
"ENSG00000109920.12",-1.56757092445232,11.3409625576364,-39.1693020945959,5.91886319348288e-129,1.1550947918688e-125,284.23012061128
"ENSG00000196639.6",4.22532219896436,6.73915356761001,39.1287564308209,7.92234526379265e-129,1.4977688867779e-125,283.939561164482
"ENSG00000237017.1",-3.91127396354802,5.99878028291958,-38.9189497872261,3.59224166310277e-128,6.58555867073913e-125,282.432948283071
"ENSG00000172031.6",4.94003540926511,3.61437908759063,38.9031568157469,4.02600352854618e-128,7.16251672975057e-125,282.319329632753
"ENSG00000099953.9",7.64695289044413,9.78541888051722,38.8991641156072,4.1437417028872e-128,7.16251672975057e-125,282.290600471573
"ENSG00000176678.5",6.14559045836219,5.93008921155067,38.7988526759231,8.55402313280214e-128,1.4375035874674e-124,281.568199524512
"ENSG00000138795.9",4.72458313733723,6.79154621896822,38.5186512410489,6.51868402946296e-127,1.06585769301203e-123,279.543996618729
"ENSG00000122641.9",6.05556549720013,8.00204385462261,38.4246676336297,1.29089303046051e-126,2.05516964623158e-123,278.862963087796
"ENSG00000117472.9",5.50375221883872,9.7171472409703,38.2063416201095,6.33795156229177e-126,9.83162547732121e-123,277.276848081501
"ENSG00000269956.1",-4.25312031219635,4.53649517942464,-38.1166367300935,1.22066919353932e-125,1.84620112176855e-122,276.62350325255
"ENSG00000137648.16",9.28104016773022,7.28864700917171,38.0856542069501,1.53111245392637e-125,2.25924978628385e-122,276.39762573109
"ENSG00000206228.4",3.24219588845688,2.24683781616492,38.082073713115,1.57174801050774e-125,2.26399074142136e-122,276.371514804846
"ENSG00000178882.13",6.02379142680666,6.28599096987871,38.0356348287129,2.20793810941047e-125,3.10641487774685e-122,276.032717993429
"ENSG00000273521.1",-5.09061285290851,3.95596227697217,-37.9766238062023,3.40181952132602e-125,4.67734721366322e-122,275.601828102018
"ENSG00000105675.8",-7.5731532346245,4.71150241697016,-37.8618394381642,7.89541987941493e-125,1.06146024858854e-121,274.762493735269
"ENSG00000185823.3",-4.90111487539662,3.14688565521735,-37.5844513326411,6.07929945332512e-124,7.99533605059268e-121,272.727621700998
"ENSG00000257061.1",-5.15264978691823,3.79508982675666,-37.5293285028577,9.13041699692668e-124,1.17525950527675e-120,272.322146367669
"ENSG00000130653.15",-2.92502127214715,9.89514410563333,-37.4149790851265,2.12529197144182e-123,2.67866486850599e-120,271.479839600034
"ENSG00000242600.6",-4.30075717692719,5.89868686892312,-37.221175120543,8.93012993197111e-123,1.10256122576406e-119,270.048653949222
"ENSG00000266835.5",3.72668451987909,2.38340930744429,37.2045792437439,1.01003253313044e-122,1.20841482869986e-119,269.925886817762
